City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
219,Paysandu,UY,-32.3214,-58.0756,53.6,77,42,7.7,scattered clouds
220,Labuhan,ID,-6.8844,112.2051,75.85,90,58,6.71,broken clouds
221,Labytnangi,RU,66.6572,66.4183,46.35,76,33,2.13,scattered clouds
222,Odemira,PT,37.598,-8.6397,66.16,94,0,3.94,clear sky
223,San Angelo,US,31.4638,-100.437,82.54,73,75,10.36,broken clouds
224,Wattegama,LK,6.7989,81.4808,74.21,67,92,2.44,overcast clouds
225,Kieta,PG,-6.2167,155.6333,81.79,79,96,4.68,light rain
226,Marienburg,PL,54.0359,19.0266,58.12,88,47,4.59,scattered clouds
227,Pochutla,MX,15.7432,-96.4661,87.82,64,94,6.71,overcast clouds
228,Campo Largo,BR,-25.4586,-49.5283,51.66,92,98,10.71,overcast clouds
229,Portobelo,PA,9.55,-79.65,81.95,89,100,5.55,overcast clouds
230,Keighley,GB,53.8679,-1.9066,70.88,60,0,2.3,clear sky
231,Ilulissat,GL,69.2167,-51.1,42.82,87,75,5.75,light rain
232,Kitimat,CA,54.0524,-128.6534,88.92,42,0,1.01,clear sky
233,Chifeng,CN,42.2683,118.9636,66.4,71,28,1.28,scattered clouds
234,Carutapera,BR,-1.195,-46.02,77.52,85,62,6.91,broken clouds
235,Orlik,RU,52.5178,99.825,46.36,83,17,1.16,few clouds
236,Kavieng,PG,-2.5744,150.7967,80.08,78,99,3.2,light rain
237,Noumea,NC,-22.2763,166.4572,71.01,99,79,15.68,broken clouds
238,Ganganagar,IN,29.9167,73.8833,89.19,60,49,8.28,scattered clouds
239,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,38,0,13.8,clear sky
240,Salalah,OM,17.0151,54.0924,77.09,100,100,4.61,overcast clouds
241,Kibre Mengist,ET,5.8833,38.9833,57.69,83,100,2.55,overcast clouds
242,Aragats,AM,40.4889,44.3528,65.77,82,6,7.61,clear sky
243,Urumqi,CN,43.801,87.6005,68.95,68,40,8.95,scattered clouds
244,Ca Mau,VN,9.1769,105.15,76.48,90,100,5.19,overcast clouds
245,North Bend,US,43.4065,-124.2243,77.23,53,75,17.27,broken clouds
246,Alta Floresta,BR,-9.8756,-56.0861,83.97,39,42,5.12,scattered clouds
247,Grobina,LV,56.5352,21.1678,49.78,93,0,3.44,clear sky
248,Bonthe,SL,7.5264,-12.505,76.08,91,100,10.65,moderate rain
249,Hay River,CA,60.8156,-115.7999,80.92,31,73,13.31,broken clouds
250,Linfen,CN,36.0889,111.5189,77.52,78,100,6.29,overcast clouds
251,Kushima,JP,31.4583,131.2333,81.09,87,81,1.66,broken clouds
252,Zhovtneve,UA,50.6637,24.2492,56.86,88,83,6.13,broken clouds
253,Suwalki,PL,54.1118,22.9309,55.53,88,28,5.46,scattered clouds
254,Pak Chong,TH,14.708,101.4161,72.1,93,96,5.35,overcast clouds
255,Souillac,MU,-20.5167,57.5167,68.38,64,40,13.8,light rain
256,Lom Sak,TH,16.7798,101.2422,74.32,94,100,3.13,overcast clouds
257,Carson City,US,39.1638,-119.7674,92.84,25,0,21.85,clear sky
258,Cabedelo,BR,-6.9811,-34.8339,75.87,81,5,10.51,clear sky
259,Sur,OM,22.5667,59.5289,88.23,57,100,12.37,overcast clouds
260,Ayan,RU,56.45,138.1667,55.36,97,100,7.47,overcast clouds
261,Cabo San Lucas,MX,22.8909,-109.9124,95.61,66,75,12.66,broken clouds
262,Bonfim,BR,3.0833,-59.95,83.46,63,65,5.21,broken clouds
263,Nalut,LY,30.3333,10.85,85.12,34,5,14.81,clear sky
264,Paralimni,CY,35.0375,33.9833,79.29,87,0,2.93,clear sky
265,Angleton,US,29.1694,-95.4319,95.13,61,20,10.36,few clouds
266,Aguimes,ES,27.9054,-15.4461,70.43,68,20,26.46,few clouds
267,Chapais,CA,49.7834,-74.8492,72.72,48,39,9.15,scattered clouds
268,Shimoda,JP,34.6667,138.95,84.11,80,79,3.4,broken clouds
269,Kaili,ID,-3.4626,120.2147,65.89,97,100,2.01,overcast clouds
270,Cao Bang,VN,22.6667,106.25,75.27,98,100,3.24,overcast clouds
271,Kamenka,RU,51.3223,42.7678,76.75,41,98,9.19,overcast clouds
272,Diego De Almagro,CL,-26.3667,-70.05,70.97,20,2,5.21,clear sky
273,Westport,US,41.1415,-73.3579,88.3,61,0,5.75,clear sky
274,Beni Suef,EG,29.0731,31.0979,84.33,44,0,10.6,clear sky
275,Catuday,PH,16.2923,119.8062,78.71,80,100,9.4,overcast clouds
276,Madimba,TZ,-10.4,40.3333,70.75,87,27,9.13,scattered clouds
277,Biryusinsk,RU,55.9634,97.8235,52.63,97,45,4.03,scattered clouds
278,Rybinsk,RU,58.0446,38.8426,52.7,81,10,2.86,clear sky
279,Los Llanos De Aridane,ES,28.6585,-17.9182,68.13,91,20,16.11,few clouds
280,Aktash,RU,50.3,87.7333,46.71,73,78,1.52,broken clouds
281,Ponta Delgada,PT,37.7333,-25.6667,73.51,73,20,10.36,few clouds
282,Severo-Kurilsk,RU,50.6789,156.125,56.52,90,46,9.86,scattered clouds
283,Wonthaggi,AU,-38.6044,145.5913,54.82,70,100,14.29,overcast clouds
284,Gillette,US,44.2911,-105.5022,97.72,15,0,4.61,clear sky
285,Ajdabiya,LY,30.7554,20.2263,80.13,65,0,9.95,clear sky
286,Padang,ID,-0.9492,100.3543,77.2,83,25,2.91,scattered clouds
287,Evensk,RU,61.95,159.2333,53.51,94,100,5.17,moderate rain
288,Poum,NC,-20.2333,164.0167,69.87,57,0,19.24,clear sky
289,Marzuq,YE,14.4,46.4667,79.75,60,91,5.91,overcast clouds
290,Calvinia,ZA,-31.4707,19.776,49.71,64,87,2.28,overcast clouds
291,Brandon,US,27.9378,-82.2859,94.1,65,0,8.05,clear sky
292,Mahebourg,MU,-20.4081,57.7,68.29,64,40,13.8,scattered clouds
293,Mattru,SL,7.6244,-11.8332,73.58,97,93,3.04,light rain
294,Moron,AR,-34.6534,-58.6198,53.96,75,100,6.6,overcast clouds
295,Baena,ES,37.6167,-4.3225,82.65,65,0,8.1,clear sky
296,Aransas Pass,US,27.9095,-97.15,96.89,63,0,14.97,clear sky
297,Bethel,US,41.3712,-73.414,87.19,56,75,5.75,broken clouds
298,Semme,FR,46.1963,1.5007,67.23,39,0,4.76,clear sky
299,Port Blair,IN,11.6667,92.75,80.96,81,100,12.33,overcast clouds
300,Jizan,SA,17.3333,42.6667,86.94,67,99,6.53,overcast clouds
301,Morant Bay,JM,17.8815,-76.4093,87.71,73,16,12.26,few clouds
302,San Matias,BO,-16.3667,-58.4,64.6,34,0,4.21,clear sky
