City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
572,Rawah,IQ,87.82,clear sky,34.4816,41.9093,بيت سميع
573,Makakilo City,US,88.12,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
575,San Francisco Del Mar,MX,88.77,broken clouds,16.2333,-94.65,
580,Norsup,VU,76.23,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
581,Mozarlandia,BR,76.57,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
588,Florence,IT,78.67,clear sky,43.7667,11.25,Hotel Nuova Italia
591,Boende,CD,75.81,scattered clouds,-0.2167,20.8667,
592,Santa Marta,CO,84.25,overcast clouds,11.2408,-74.199,Hotel La Ballena Azul
593,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
596,Sao Felix Do Xingu,BR,81.43,few clouds,-6.6447,-51.995,Rio Xingu Camping
599,Pottsville,US,85.01,scattered clouds,40.6857,-76.1955,Ramada by Wyndham Pottsville/Frackville
600,Fergus Falls,US,84.18,clear sky,46.283,-96.0776,AmericInn by Wyndham Fergus Falls Conference Center
603,Kuching,MY,75.42,few clouds,1.55,110.3333,Hilton Kuching
604,Itaituba,BR,85.35,broken clouds,-4.2761,-55.9836,Hotel Campos
608,Samarai,PG,78.55,overcast clouds,-10.6167,150.6667,Nuli Sapi
612,Zabol,AF,78.55,clear sky,32.25,67.25,
613,Capreol,CA,75.54,scattered clouds,46.706,-80.9225,
614,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
615,Jiujiang,CN,85.28,broken clouds,29.7333,115.9833,Tianhai Fashion Theme Hotel
616,Itupiranga,BR,88.12,scattered clouds,-5.1347,-49.3267,Hotel Panorama
618,Bontang,ID,75.61,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
619,Tottori,JP,84.27,scattered clouds,35.5,134.2333,Hotel Monarque Tottori
623,Tamiahua,MX,85.95,scattered clouds,21.2667,-97.45,Mission Of The Sun Hotel
625,Yuli,NG,77.32,light rain,9.6989,10.2744,
627,Pacific Grove,US,84.54,clear sky,36.6177,-121.9166,Lovers Point Inn
630,Wahiawa,US,86.32,few clouds,21.5028,-158.0236,The Inn At Schofield
638,Afua,BR,76.93,overcast clouds,-0.1567,-50.3867,Hotel Dias
640,Porbandar,IN,80.76,light rain,21.6422,69.6093,Lords Inn Porbandar
641,Nettuno,IT,78.35,broken clouds,41.4826,12.679,Astura Palace Hotel
642,Tomatlan,MX,87.31,overcast clouds,19.9333,-105.25,El Salvial
645,Tiarei,PF,80.62,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
650,Kununurra,AU,75.18,few clouds,-15.7667,128.7333,Hotel Kununurra
651,Yichang,CN,82.06,broken clouds,30.7144,111.2847,Gezhouba Hotel
652,Valenca Do Piaui,BR,78.44,few clouds,-6.4075,-41.7456,GN Hotel
657,Camocim,BR,76.82,clear sky,-2.9022,-40.8411,Ilha Praia Hotel
665,Narasapur,IN,80.98,overcast clouds,16.45,81.6667,UDIPI HOTEL COMFORTINN
666,Maumere,ID,79.93,overcast clouds,-8.6199,122.2111,Sylvia Hotel
668,Nara,JP,85.32,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
669,Pyapon,MM,76.26,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
670,Aden,YE,84.61,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
673,Ratnagiri,IN,78.94,overcast clouds,16.9833,73.3,Hotel Landmark
